%%  seed (769) : [1565508328 1073660150 1395889105 1073539080 -143158687 1073029186 1397247613 1072781684 -1883071040 1072699929] ...  [1073460463 -56172066 1073298588 793429205 1072839592 -660985193 -1983540964 -1880642558 -93323074 363]
%%  rxid 		 txid 	 pdpid 	  doppler 	 PowerProfile(linear) 	 DelayProfile
668 	 18	 * 0.534994 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
668 	 11	 * 0.539665 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
668 	 9	 * 0.364456 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
668 	 230	 * 0.78397 *	1	3	[1]	 [0]
674 	 16	 * 0.46273 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
674 	 1	 * 0.038991 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
674 	 8	 * 0.0698629 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
674 	 13	 * 0.979321 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
676 	 8	 * 0.033575 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
676 	 16	 * 0.227669 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
676 	 6	 * 0.877945 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
676 	 153	 * 0.0883723 *	1	3	[1]	 [0]
678 	 7	 * 0.00779739 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
678 	 6	 * 0.912215 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
678 	 16	 * 0.852832 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
678 	 8	 * 0.194281 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
683 	 9	 * 0.432669 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
683 	 4	 * 0.0251523 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
683 	 10	 * 0.931481 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
683 	 252	 * 0.414582 *	1	3	[1]	 [0]
684 	 18	 * 0.515923 *	1	3	[0.995333 0.00466735]	 [0 1]
684 	 20	 * 0.438849 *	1	3	[0.995333 0.00466735]	 [0 1]
684 	 11	 * 0.040551 *	1	3	[0.995333 0.00466735]	 [0 1]
684 	 19	 * 0.649327 *	1	3	[0.995333 0.00466735]	 [0 1]
685 	 20	 * 0.295601 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
685 	 3	 * 0.540649 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
685 	 4	 * 0.621086 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
685 	 106	 * 0.354726 *	1	3	[1]	 [0]
686 	 12	 * 0.428816 *	1	3	[0.995333 0.00466735]	 [0 1]
686 	 15	 * 0.229194 *	1	3	[0.995333 0.00466735]	 [0 1]
686 	 5	 * 0.370378 *	1	3	[0.995333 0.00466735]	 [0 1]
686 	 16	 * 0.949617 *	1	3	[0.995333 0.00466735]	 [0 1]
689 	 20	 * 0.625975 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
689 	 4	 * 0.816413 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
689 	 9	 * 0.119723 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
689 	 2	 * 0.163737 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
694 	 12	 * 0.51332 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
694 	 16	 * 0.77125 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
694 	 8	 * 0.0709085 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
694 	 6	 * 0.169327 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
696 	 6	 * 0.0222391 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
696 	 13	 * 0.373763 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
696 	 4	 * 0.896014 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
696 	 107	 * 0.286676 *	1	3	[1]	 [0]
701 	 5	 * 0.907351 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
701 	 17	 * 0.77161 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
701 	 16	 * 0.292606 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
701 	 15	 * 0.489561 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
703 	 14	 * 0.512368 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
703 	 0	 * 0.2978 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
703 	 2	 * 0.325781 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
703 	 1	 * 0.92528 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
714 	 8	 * 0.546355 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
714 	 13	 * 0.521594 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
714 	 12	 * 0.103371 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
714 	 14	 * 0.0159409 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
717 	 11	 * 0.461144 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
717 	 18	 * 0.0199367 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
717 	 20	 * 0.0731445 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
717 	 19	 * 0.585926 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
733 	 11	 * 0.78731 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
733 	 4	 * 0.885099 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
733 	 20	 * 0.724718 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
733 	 450	 * 0.080223 *	1	3	[1]	 [0]
734 	 16	 * 0.0936954 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
734 	 19	 * 0.691119 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
734 	 11	 * 0.797573 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
734 	 15	 * 0.878815 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
739 	 9	 * 0.250235 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
739 	 11	 * 0.221014 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
739 	 14	 * 0.201982 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
739 	 10	 * 0.961488 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
757 	 14	 * 0.526215 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
757 	 1	 * 0.932449 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
757 	 0	 * 0.498136 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
757 	 2	 * 0.272206 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
764 	 2	 * 0.0821201 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
764 	 4	 * 0.985061 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
764 	 17	 * 0.495053 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
764 	 1	 * 0.124503 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
765 	 13	 * 0.570787 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
765 	 19	 * 0.978109 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
765 	 18	 * 0.718414 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
765 	 20	 * 0.616423 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
770 	 18	 * 0.240987 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
770 	 2	 * 0.234537 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
770 	 5	 * 0.114155 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
770 	 16	 * 0.172139 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
775 	 20	 * 0.387315 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
775 	 5	 * 0.404176 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
775 	 4	 * 0.25098 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
775 	 3	 * 0.051419 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
777 	 13	 * 0.0875413 *	1	3	[1]	 [0]
777 	 0	 * 0.811921 *	1	3	[1]	 [0]
777 	 10	 * 0.644742 *	1	3	[1]	 [0]
777 	 20	 * 0.181185 *	1	3	[1]	 [0]
778 	 12	 * 0.0595232 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
778 	 6	 * 0.109023 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
778 	 8	 * 0.434094 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
778 	 16	 * 0.603147 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
783 	 20	 * 0.206902 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
783 	 19	 * 0.292113 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
783 	 18	 * 0.489821 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
783 	 408	 * 0.551619 *	1	3	[1]	 [0]
784 	 20	 * 0.172252 *	1	3	[1]	 [0]
784 	 19	 * 0.307951 *	1	3	[1]	 [0]
784 	 11	 * 0.984628 *	1	3	[1]	 [0]
784 	 18	 * 0.162335 *	1	3	[1]	 [0]
791 	 17	 * 0.760092 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
791 	 6	 * 0.601966 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
791 	 8	 * 0.173494 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
791 	 16	 * 0.720409 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
795 	 20	 * 0.227183 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
795 	 4	 * 0.326599 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
795 	 10	 * 0.143676 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
795 	 253	 * 0.102577 *	1	3	[1]	 [0]
803 	 1	 * 0.433705 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
803 	 14	 * 0.541405 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
803 	 13	 * 0.644149 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
803 	 12	 * 0.204495 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
805 	 11	 * 0.344007 *	1	30	[0.995333 0.00466735]	 [0 1]
805 	 19	 * 0.278349 *	1	30	[0.995333 0.00466735]	 [0 1]
805 	 18	 * 0.338121 *	1	30	[0.995333 0.00466735]	 [0 1]
805 	 20	 * 0.248054 *	1	30	[0.995333 0.00466735]	 [0 1]
806 	 18	 * 0.684671 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
806 	 1	 * 0.838338 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
806 	 12	 * 0.345635 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
806 	 287	 * 0.320191 *	1	3	[1]	 [0]
808 	 4	 * 0.208201 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
