%RELY_Rx  Es  Jmin InputSINR
2812   9.78213145e-01 2.17868545e-02 	16.5224	 16.5224
3179   9.53294302e-01 4.67056977e-02 	13.0986	 13.0986
2825   9.92166167e-01 7.83383276e-03 	21.0261	 21.0261
2842   9.91938971e-01 8.06102880e-03 	20.9009	 20.9009
3037   9.22499691e-01 7.75003087e-02 	10.7566	 10.7566
3053   9.37474728e-01 6.25252722e-02 	11.759	 11.759
2817   9.04511257e-01 9.54887435e-02 	9.76462	 9.76462
2883   9.38894832e-01 6.11051681e-02 	11.8654	 11.8654
2906   8.97426726e-01 1.02573274e-01 	9.41965	 9.41965
3050   9.71512641e-01 2.84873594e-02 	15.328	 15.328
3055   9.37728246e-01 6.22717538e-02 	11.7779	 11.7779
2758   8.83272520e-01 1.16727480e-01 	8.78922	 8.78922
2874   8.77031659e-01 1.22968341e-01 	8.53222	 8.53222
2974   9.30926703e-01 6.90732973e-02 	11.2961	 11.2961
3097   9.59053740e-01 4.09462603e-02 	13.6963	 13.6963
3117   8.60114616e-01 1.39885384e-01 	7.88784	 7.88784
2887   9.58434392e-01 4.15656077e-02 	13.6283	 13.6283
3133   9.83468393e-01 1.65316069e-02 	17.7445	 17.7445
2778   9.41740669e-01 5.82593312e-02 	12.0857	 12.0857
2795   9.07913270e-01 9.20867298e-02 	9.93847	 9.93847
2843   7.95485730e-01 2.04514270e-01 	5.89909	 5.89909
2848   8.10591901e-01 1.89408099e-01 	6.31404	 6.31404
2912   9.17562011e-01 8.24379886e-02 	10.4651	 10.4651
2929   8.69405956e-01 1.30594044e-01 	8.23299	 8.23299
2967   9.29044022e-01 7.09559783e-02 	11.1705	 11.1705
3095   8.98859659e-01 1.01140341e-01 	9.48767	 9.48767
2817   9.04511257e-01 9.54887435e-02 	9.76462	 9.76462
2857   8.90056559e-01 1.09943441e-01 	9.08248	 9.08248
2879   8.54808843e-01 1.45191157e-01 	7.69929	 7.69929
2898   9.62141851e-01 3.78581487e-02 	14.0508	 14.0508
2942   9.08158197e-01 9.18418032e-02 	9.95121	 9.95121
2754   8.70805897e-01 1.29194103e-01 	8.28679	 8.28679
2824   9.48654132e-01 5.13458677e-02 	12.666	 12.666
2874   8.77031659e-01 1.22968341e-01 	8.53222	 8.53222
2968   8.35913547e-01 1.64086453e-01 	7.07089	 7.07089
