%%  seed (769) : [-1625701355 1073374487 1040570380 1073072844 1614925394 1072901594 -1356829551 1073182837 -1370836337 1072777753] ...  [1073005282 5458788 1072941981 580038862 1072840649 -652454757 1992541292 825206693 -449704068 97]
%%  rxid 		 txid 	 pdpid 	  doppler 	 PowerProfile(linear) 	 DelayProfile
706 	 10	 * 0.548533 *	1	30	[0.995333 0.00466735]	 [0 1]
706 	 4	 * 0.562475 *	1	30	[0.995333 0.00466735]	 [0 1]
706 	 5	 * 0.872851 *	1	30	[0.995333 0.00466735]	 [0 1]
706 	 3	 * 0.511857 *	1	30	[0.995333 0.00466735]	 [0 1]
717 	 3	 * 0.307126 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
717 	 20	 * 0.525334 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
717 	 4	 * 0.475983 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
717 	 131	 * 0.663614 *	1	3	[1]	 [0]
718 	 11	 * 0.289379 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
718 	 2	 * 0.0195153 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
718 	 7	 * 0.842492 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
718 	 192	 * 0.781822 *	1	3	[1]	 [0]
728 	 2	 * 0.871387 *	1	30	[0.995333 0.00466735]	 [0 1]
728 	 18	 * 0.737697 *	1	30	[0.995333 0.00466735]	 [0 1]
728 	 12	 * 0.0514955 *	1	30	[0.995333 0.00466735]	 [0 1]
728 	 8	 * 0.530023 *	1	30	[0.995333 0.00466735]	 [0 1]
735 	 19	 * 0.178455 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
735 	 17	 * 0.229971 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
735 	 16	 * 0.205492 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
735 	 15	 * 0.551186 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
742 	 20	 * 0.352786 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
742 	 3	 * 0.418811 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
742 	 5	 * 0.715578 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
742 	 4	 * 0.9022 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
750 	 17	 * 0.332689 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
750 	 2	 * 0.484105 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
750 	 1	 * 0.0162745 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
750 	 0	 * 0.891351 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
755 	 7	 * 0.385876 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
755 	 15	 * 0.554133 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
755 	 5	 * 0.000936887 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
755 	 10	 * 0.308386 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
762 	 6	 * 0.501116 *	1	3	[0.995333 0.00466735]	 [0 1]
762 	 7	 * 0.286542 *	1	3	[0.995333 0.00466735]	 [0 1]
762 	 18	 * 0.122199 *	1	3	[0.995333 0.00466735]	 [0 1]
762 	 8	 * 0.952355 *	1	3	[0.995333 0.00466735]	 [0 1]
770 	 13	 * 0.988016 *	1	3	[0.995333 0.00466735]	 [0 1]
770 	 17	 * 0.96668 *	1	3	[0.995333 0.00466735]	 [0 1]
770 	 16	 * 0.452929 *	1	3	[0.995333 0.00466735]	 [0 1]
770 	 12	 * 0.605423 *	1	3	[0.995333 0.00466735]	 [0 1]
771 	 11	 * 0.13236 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
771 	 15	 * 0.374064 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
771 	 19	 * 0.382328 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
771 	 17	 * 0.210077 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
780 	 5	 * 0.946067 *	1	30	[0.995333 0.00466735]	 [0 1]
780 	 10	 * 0.00472247 *	1	30	[0.995333 0.00466735]	 [0 1]
780 	 16	 * 0.803069 *	1	30	[0.995333 0.00466735]	 [0 1]
780 	 6	 * 0.377141 *	1	30	[0.995333 0.00466735]	 [0 1]
784 	 3	 * 0.814174 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
784 	 13	 * 0.184028 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
784 	 12	 * 0.886711 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
784 	 14	 * 0.82709 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
787 	 6	 * 0.159224 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
787 	 4	 * 0.581994 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
787 	 3	 * 0.15332 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
787 	 5	 * 0.440098 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
794 	 12	 * 0.571859 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
794 	 17	 * 0.227344 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
794 	 16	 * 0.311508 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
794 	 15	 * 0.0278238 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
801 	 20	 * 0.871573 *	1	3	[1]	 [0]
801 	 3	 * 0.475193 *	1	3	[1]	 [0]
801 	 1	 * 0.393446 *	1	3	[1]	 [0]
801 	 13	 * 0.433129 *	1	3	[1]	 [0]
808 	 16	 * 0.734493 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
808 	 3	 * 0.754257 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
808 	 12	 * 0.903983 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
808 	 304	 * 0.95354 *	1	3	[1]	 [0]
809 	 17	 * 0.865668 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
809 	 13	 * 0.930441 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
809 	 20	 * 0.225429 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
809 	 476	 * 0.264163 *	1	3	[1]	 [0]
814 	 9	 * 0.81568 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
814 	 0	 * 0.0908138 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
814 	 1	 * 0.310785 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
814 	 2	 * 0.890656 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
817 	 15	 * 0.651863 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
817 	 10	 * 0.870037 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
817 	 9	 * 0.192875 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
817 	 11	 * 0.823757 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
819 	 15	 * 0.479549 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
819 	 9	 * 0.742188 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
819 	 11	 * 0.138226 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
819 	 10	 * 0.119205 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
827 	 232	 * 0.775976 *	1	3	[1]	 [0]
827 	 2	 * 0.044139 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
827 	 8	 * 0.384327 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
827 	 222	 * 0.782839 *	1	3	[1]	 [0]
831 	 13	 * 0.00760685 *	1	3	[0.995333 0.00466735]	 [0 1]
831 	 19	 * 0.147871 *	1	3	[0.995333 0.00466735]	 [0 1]
831 	 18	 * 0.643352 *	1	3	[0.995333 0.00466735]	 [0 1]
831 	 20	 * 0.412744 *	1	3	[0.995333 0.00466735]	 [0 1]
832 	 5	 * 0.356366 *	1	3	[0.995333 0.00466735]	 [0 1]
832 	 17	 * 0.557961 *	1	3	[0.995333 0.00466735]	 [0 1]
832 	 16	 * 0.61824 *	1	3	[0.995333 0.00466735]	 [0 1]
832 	 15	 * 0.411473 *	1	3	[0.995333 0.00466735]	 [0 1]
834 	 10	 * 0.40268 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
834 	 17	 * 0.751854 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
834 	 16	 * 0.100137 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
834 	 15	 * 0.321743 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
842 	 9	 * 0.709723 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
842 	 10	 * 0.479748 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
842 	 11	 * 0.601015 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
842 	 276	 * 0.527936 *	1	3	[1]	 [0]
849 	 16	 * 0.240662 *	1	3	[0.995333 0.00466735]	 [0 1]
849 	 14	 * 0.695975 *	1	3	[0.995333 0.00466735]	 [0 1]
849 	 12	 * 0.522768 *	1	3	[0.995333 0.00466735]	 [0 1]
849 	 13	 * 0.126698 *	1	3	[0.995333 0.00466735]	 [0 1]
850 	 2	 * 0.471388 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
850 	 17	 * 0.0664332 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
850 	 9	 * 0.603996 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
850 	 1	 * 0.388844 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
876 	 7	 * 0.770482 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
876 	 18	 * 0.972636 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
876 	 19	 * 0.538377 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
876 	 453	 * 0.348347 *	1	3	[1]	 [0]
879 	 2	 * 0.0658466 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
879 	 11	 * 0.841946 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
879 	 14	 * 0.774557 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
879 	 7	 * 0.037196 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
881 	 14	 * 0.737844 *	1	3	[0.995333 0.00466735]	 [0 1]
881 	 11	 * 0.966255 *	1	3	[0.995333 0.00466735]	 [0 1]
881 	 10	 * 0.79717 *	1	3	[0.995333 0.00466735]	 [0 1]
881 	 9	 * 0.408892 *	1	3	[0.995333 0.00466735]	 [0 1]
890 	 8	 * 0.0317145 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
890 	 16	 * 0.555888 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
890 	 18	 * 0.669115 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
890 	 12	 * 0.0662536 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
895 	 3	 * 0.653987 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
895 	 5	 * 0.673039 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
895 	 15	 * 0.80685 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
895 	 10	 * 0.552053 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
897 	 17	 * 0.583688 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
897 	 9	 * 0.208676 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
897 	 0	 * 0.426606 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
897 	 24	 * 0.980175 *	1	3	[1]	 [0]
898 	 14	 * 0.868149 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
898 	 0	 * 0.0227037 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
898 	 1	 * 0.829046 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
898 	 2	 * 0.813102 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
901 	 1	 * 0.454519 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
901 	 14	 * 0.370746 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
901 	 12	 * 0.792002 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
901 	 13	 * 0.00197302 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
902 	 3	 * 0.274238 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
902 	 6	 * 0.86854 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
902 	 10	 * 0.567411 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
902 	 5	 * 0.366702 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
911 	 9	 * 0.0136968 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
911 	 18	 * 0.963291 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
