
%RxID  X    Y     Z  Indoor   Type   FlagsIDS (custom) : 0 Distance0 Distance1 ....
     -1.00     -1.00     -1.00     -1.00     -1.00     -1.00         0         1         2         3         4         5         6         7         8         9        10        11        12        13        14        15        16        17        18        19        20
     -1.00     -1.00     -1.00     -1.00     -1.00     -1.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00
       621    503.93   -138.97      1.50      1.00      2.00    522.74    522.74    522.74    515.17    515.17    515.17    727.09    727.09    727.09   1502.51   1502.51   1502.51   1415.00   1415.00   1415.00   1233.21   1233.21   1233.21   1005.03   1005.03   1005.03
       622   1169.72   -366.00      1.50      0.00      2.00   1225.64   1225.64   1225.64    403.44    403.44    403.44    835.80    835.80    835.80    907.37    907.37    907.37   1275.56   1275.56   1275.56    599.28    599.28    599.28   1402.31   1402.31   1402.31
       623     86.24   -855.70      1.50      1.00      2.00    860.04    860.04    860.04   1251.87   1251.87   1251.87    413.89    413.89    413.89    586.33    586.33    586.33   1266.11   1266.11   1266.11   1413.80   1413.80   1413.80    880.63    880.63    880.63
       624   -630.42   -451.51      1.50      0.00      2.00    775.43    775.43    775.43    963.33    963.33    963.33   1204.03   1204.03   1204.03    434.57    434.57    434.57    583.48    583.48    583.48   1332.86   1332.86   1332.86   1427.36   1427.36   1427.36
       625    932.09   -705.80      1.50      0.00      2.00   1169.16   1169.16   1169.16    709.06    709.06    709.06    460.85    460.85    460.85   1441.03   1441.03   1441.03   1028.55   1028.55   1028.55    590.09    590.09    590.09   1386.39   1386.39   1386.39
       626    460.56    119.69      1.50      0.00      2.00    475.86    475.86    475.86    552.56    552.56    552.56    986.53    986.53    986.53   1376.36   1376.36   1376.36   1465.46   1465.46   1465.46   1216.44   1216.44   1216.44    747.40    747.40    747.40
       627   -782.79   -436.40      1.50      0.00      2.00    896.22    896.22    896.22    836.06    836.06    836.06   1486.87   1486.87   1486.87    514.36    514.36    514.36    487.47    487.47    487.47   1332.80   1332.80   1332.80   1293.08   1293.08   1293.08
       628   -955.56  -1111.30      1.50      1.00      2.00   1465.63   1465.63   1465.63    597.13    597.13    597.13   1476.08   1476.08   1476.08    517.38    517.38    517.38   1112.19   1112.19   1112.19    622.39    622.39    622.39   1139.52   1139.52   1139.52
       629   -289.21   1180.07      1.50      0.00      2.00   1214.99   1214.99   1214.99    899.98    899.98    899.98   1250.85   1250.85   1250.85    623.20    623.20    623.20   1377.60   1377.60   1377.60    378.21    378.21    378.21    849.38    849.38    849.38
       630   -630.43     68.89      1.50      1.00      2.00    634.18    634.18    634.18   1276.82   1276.82   1276.82   1179.67   1179.67   1179.67    944.00    944.00    944.00    375.94    375.94    375.94    807.76    807.76    807.76   1371.30   1371.30   1371.30
       631    250.76   -670.35      1.50      0.00      2.00    715.71    715.71    715.71   1005.35   1005.35   1005.35    316.89    316.89    316.89    775.85    775.85    775.85   1299.49   1299.49   1299.49   1264.48   1264.48   1264.48   1090.96   1090.96   1090.96
       632     40.07    752.45      1.50      1.00      2.00    753.52    753.52    753.52   1219.69   1219.69   1219.69   1371.56   1371.56   1371.56    980.47    980.47    980.47   1464.34   1464.34   1464.34    551.89    551.89    551.89    473.75    473.75    473.75
       633   1337.56    -58.46      1.50      0.00      2.00   1338.84   1338.84   1338.84    342.59    342.59    342.59   1163.49   1163.49   1163.49    665.01    665.01    665.01    938.68    938.68    938.68    823.76    823.76    823.76   1247.49   1247.49   1247.49
