%RELY_Rx  Es  Jmin InputSINR
2770   9.35382171e-01 6.46178286e-02 	11.6064	 11.6064
2807   9.38779044e-01 6.12209558e-02 	11.8566	 11.8566
2909   9.67868771e-01 3.21312286e-02 	14.7889	 14.7889
2922   9.85498663e-01 1.45013374e-02 	18.3225	 18.3225
2964   9.79699881e-01 2.03001189e-02 	16.8359	 16.8359
3119   9.94536043e-01 5.46395674e-03 	22.6011	 22.6011
2740   9.53063292e-01 4.69367077e-02 	13.0761	 13.0761
2839   9.91879752e-01 8.12024840e-03 	20.8689	 20.8689
3097   9.68954044e-01 3.10459560e-02 	14.943	 14.943
2871   9.82182025e-01 1.78179749e-02 	17.4133	 17.4133
2990   9.55011203e-01 4.49887965e-02 	13.269	 13.269
3122   8.88729031e-01 1.11270969e-01 	9.02387	 9.02387
2724   9.68888498e-01 3.11115020e-02 	14.9335	 14.9335
2753   9.45951377e-01 5.40486227e-02 	12.4308	 12.4308
2770   9.35382171e-01 6.46178286e-02 	11.6064	 11.6064
2950   9.77250987e-01 2.27490127e-02 	16.3304	 16.3304
2984   9.49347376e-01 5.06526238e-02 	12.7282	 12.7282
3013   9.70106409e-01 2.98935914e-02 	15.1124	 15.1124
3184   9.53207821e-01 4.67921789e-02 	13.0901	 13.0901
2791   9.75270802e-01 2.47291975e-02 	15.9592	 15.9592
3169   8.97795183e-01 1.02204817e-01 	9.43706	 9.43706
2757   9.40334975e-01 5.96650246e-02 	11.9756	 11.9756
2851   9.57427374e-01 4.25726259e-02 	13.5198	 13.5198
2969   8.90545884e-01 1.09454116e-01 	9.10424	 9.10424
2860   9.37255595e-01 6.27444047e-02 	11.7428	 11.7428
2869   8.21133793e-01 1.78866207e-01 	6.61886	 6.61886
2888   8.88224503e-01 1.11775497e-01 	9.00176	 9.00176
2892   9.29760707e-01 7.02392933e-02 	11.2179	 11.2179
2932   9.31051001e-01 6.89489986e-02 	11.3045	 11.3045
2976   8.43349996e-01 1.56650004e-01 	7.31077	 7.31077
3002   9.47359348e-01 5.26406522e-02 	12.5519	 12.5519
3080   9.30696640e-01 6.93033603e-02 	11.2805	 11.2805
2753   9.45951377e-01 5.40486227e-02 	12.4308	 12.4308
2783   8.95599199e-01 1.04400801e-01 	9.3341	 9.3341
2800   9.33756017e-01 6.62439831e-02 	11.4909	 11.4909
2831   8.83311736e-01 1.16688264e-01 	8.79087	 8.79087
2907   8.45269940e-01 1.54730060e-01 	7.37421	 7.37421
2983   8.73559394e-01 1.26440606e-01 	8.39406	 8.39406
3093   9.12410251e-01 8.75897494e-02 	10.1774	 10.1774
2901   9.12031235e-01 8.79687647e-02 	10.1568	 10.1568
2969   8.90545884e-01 1.09454116e-01 	9.10424	 9.10424
3059   7.93051409e-01 2.06948591e-01 	5.83439	 5.83439
3155   8.16126825e-01 1.83873175e-01 	6.47239	 6.47239
2860   9.37255595e-01 6.27444047e-02 	11.7428	 11.7428
3080   9.30696640e-01 6.93033603e-02 	11.2805	 11.2805
3173   9.11271892e-01 8.87281082e-02 	10.1159	 10.1159
2831   8.83311736e-01 1.16688264e-01 	8.79087	 8.79087
2907   8.45269940e-01 1.54730060e-01 	7.37421	 7.37421
3093   9.12410251e-01 8.75897494e-02 	10.1774	 10.1774
2825   8.37612982e-01 1.62387018e-01 	7.12492	 7.12492
3049   8.35546570e-01 1.64453430e-01 	7.05928	 7.05928
2954   8.72642376e-01 1.27357624e-01 	8.35811	 8.35811
3153   5.14835045e-01 4.85164955e-01 	0.257787	 0.257787
3164   7.14217358e-01 2.85782642e-01 	3.97795	 3.97795
3004   8.35198669e-01 1.64801331e-01 	7.04829	 7.04829
3064   7.48218122e-01 2.51781878e-01 	4.73004	 4.73004
3173   9.11271892e-01 8.87281082e-02 	10.1159	 10.1159
2854   7.62081169e-01 2.37918831e-01 	5.05572	 5.05572
2981   7.52837594e-01 2.47162406e-01 	4.83719	 4.83719
2999   6.89629607e-01 3.10370393e-01 	3.46736	 3.46736
3176   9.03423237e-01 9.65767627e-02 	9.71019	 9.71019
2785   8.17207299e-01 1.82792701e-01 	6.50373	 6.50373
2819   6.93003908e-01 3.06996092e-01 	3.53603	 3.53603
2825   8.37612982e-01 1.62387018e-01 	7.12492	 7.12492
2924   7.70621948e-01 2.29378052e-01 	5.2629	 5.2629
2989   5.06139626e-01 4.93860374e-01 	0.106662	 0.106662
3049   8.35546570e-01 1.64453430e-01 	7.05928	 7.05928
3109   6.02982609e-01 3.97017391e-01 	1.81495	 1.81495
2734   8.61558001e-01 1.38441999e-01 	7.94017	 7.94017
2755   8.07564961e-01 1.92435039e-01 	6.22893	 6.22893
2920   8.37751969e-01 1.62248031e-01 	7.12936	 7.12936
2954   8.72642376e-01 1.27357624e-01 	8.35811	 8.35811
3022   8.91274776e-01 1.08725224e-01 	9.13681	 9.13681
3095   5.76616986e-01 4.23383014e-01 	1.34154	 1.34154
