
%RxID  X    Y     Z  Indoor   Type   FlagsIDS (custom) : 0 Distance0 Distance1 ....
     -1.00     -1.00     -1.00     -1.00     -1.00     -1.00         0         1         2         3         4         5         6         7         8         9        10        11        12        13        14        15        16        17        18        19        20
     -1.00     -1.00     -1.00     -1.00     -1.00     -1.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00
       621   -930.41    339.03      1.50      1.00      2.00    990.26    990.26    990.26   1332.91   1332.91   1332.91    776.00    776.00    776.00   1279.64   1279.64   1279.64    346.10    346.10    346.10    680.45    680.45    680.45   1122.03   1122.03   1122.03
       622   -869.99    268.39      1.50      1.00      2.00    910.45    910.45    910.45   1297.64   1297.64   1297.64    868.39    868.39    868.39   1193.26   1193.26   1193.26    298.22    298.22    298.22    702.91    702.91    702.91   1161.45   1161.45   1161.45
       624    209.10    652.12      1.50      0.00      2.00    684.82    684.82    684.82   1025.08   1025.08   1025.08   1338.61   1338.61   1338.61   1100.04   1100.04   1100.04   1308.50   1308.50   1308.50    740.67    740.67    740.67    361.09    361.09    361.09
       625    155.15  -1022.43      1.50      0.00      2.00   1034.13   1034.13   1034.13   1326.33   1326.33   1326.33    378.65    378.65    378.65    673.55    673.55    673.55   1103.36   1103.36   1103.36   1353.92   1353.92   1353.92    726.43    726.43    726.43
       626     70.23    903.07      1.50      1.00      2.00    905.79    905.79    905.79   1296.15   1296.15   1296.15   1245.70   1245.70   1245.70    832.00    832.00    832.00   1430.25   1430.25   1430.25    571.43    571.43    571.43    431.36    431.36    431.36
       627    130.26    812.72      1.50      0.00      2.00    823.09    823.09    823.09   1190.36   1190.36   1190.36   1265.59   1265.59   1265.59    928.57    928.57    928.57   1370.78   1370.78   1370.78    632.51    632.51    632.51    373.57    373.57    373.57
       628  -1416.88     71.33      1.50      1.00      2.00   1418.68   1418.68   1418.68    941.06    941.06    941.06    799.05    799.05    799.05   1311.24   1311.24   1311.24    422.94    422.94    422.94   1213.36   1213.36   1213.36    587.47    587.47    587.47
       629    169.60    606.47      1.50      0.00      2.00    629.74    629.74    629.74   1028.29   1028.29   1028.29   1398.79   1398.79   1398.79   1138.34   1138.34   1138.34   1355.49   1355.49   1355.49    718.15    718.15    718.15    420.17    420.17    420.17
       630   -202.52   -740.41      1.50      0.00      2.00    767.61    767.61    767.61   1303.54   1303.54   1303.54    713.67    713.67    713.67    322.92    322.92    322.92   1088.20   1088.20   1088.20   1272.57   1272.57   1272.57   1012.16   1012.16   1012.16
       631    541.29    870.54      1.50      1.00      2.00   1025.10   1025.10   1025.10    984.00    984.00    984.00    976.07    976.07    976.07   1017.49   1017.49   1017.49    958.72    958.72    958.72   1041.30   1041.30   1041.30     41.53     41.53     41.53
       632   1180.97    448.18      1.50      1.00      2.00   1263.15   1263.15   1263.15    483.34    483.34    483.34   1480.18   1480.18   1480.18    933.64    933.64    933.64    525.73    525.73    525.73   1352.40   1352.40   1352.40    798.96    798.96    798.96
       633   -401.38    796.66      1.50      1.00      2.00    892.06    892.06    892.06   1110.59   1110.59   1110.59   1100.81   1100.81   1100.81   1017.92   1017.92   1017.92    996.50    996.50    996.50    120.59    120.59    120.59    904.04    904.04    904.04
       634   -901.87   -839.10      1.50      0.00      2.00   1231.85   1231.85   1231.85    598.74    598.74    598.74   1402.13   1402.13   1402.13    402.77    402.77    402.77    844.82    844.82    844.82    898.38    898.38    898.38   1269.18   1269.18   1269.18
       635   -194.02   -945.16      1.50      0.00      2.00    964.87    964.87    964.87   1308.37   1308.37   1308.37    698.51    698.51    698.51    316.04    316.04    316.04   1242.15   1242.15   1242.15   1126.45   1126.45   1126.45    810.51    810.51    810.51
       636   -245.80   -494.66      1.50      0.00      2.00    552.36    552.36    552.36   1308.04   1308.04   1308.04    833.15    833.15    833.15    450.06    450.06    450.06    901.95    901.95    901.95   1449.17   1449.17   1449.17   1261.62   1261.62   1261.62
       637    658.20     20.30      1.50      0.00      2.00    658.52    658.52    658.52    342.40    342.40    342.40    900.36    900.36    900.36   1341.95   1341.95   1341.95   1193.28   1193.28   1193.28   1222.39   1222.39   1222.39    860.42    860.42    860.42
       638    -60.41     69.04      1.50      0.00      2.00     91.74     91.74     91.74   1062.66   1062.66   1062.66   1090.16   1090.16   1090.16   1033.26   1033.26   1033.26    942.12    942.12    942.12    910.20    910.20    910.20    974.32    974.32    974.32
       639   -583.65  -1100.48      1.50      0.00      2.00   1245.67   1245.67   1245.67    945.86    945.86    945.86   1108.72   1108.72   1108.72    248.91    248.91    248.91   1176.61   1176.61   1176.61    756.50    756.50    756.50    859.99    859.99    859.99
       640    724.94   1247.52      1.50      1.00      2.00   1442.86   1442.86   1442.86   1277.48   1277.48   1277.48    557.20    557.20    557.20    871.99    871.99    871.99    863.85    863.85    863.85   1282.97   1282.97   1282.97    442.85    442.85    442.85
       641   1190.19   -360.95      1.50      0.00      2.00   1243.72   1243.72   1243.72    408.00    408.00    408.00    855.27    855.27    855.27    886.61    886.61    886.61   1265.51   1265.51   1265.51    592.54    592.54    592.54   1407.80   1407.80   1407.80
       642   -904.03   -209.51      1.50      0.00      2.00    927.99    927.99    927.99    886.70    886.70    886.70   1229.64   1229.64   1229.64    770.90    770.90    770.90    230.44    230.44    230.44   1148.94   1148.94   1148.94   1115.82   1115.82   1115.82
       643   -746.65    141.69      1.50      0.00      2.00    759.98    759.98    759.98   1258.20   1258.20   1258.20   1045.10   1045.10   1045.10   1037.49   1037.49   1037.49    290.28    290.28    290.28    765.20    765.20    765.20   1261.33   1261.33   1261.33
       644   -409.94    156.46      1.50      0.00      2.00    438.78    438.78    438.78   1418.59   1418.59   1418.59   1368.77   1368.77   1368.77   1026.47   1026.47   1026.47    610.45    610.45    610.45    715.28    715.28    715.28   1153.91   1153.91   1153.91
       645   -198.32     61.96      1.50      1.00      2.00    207.77    207.77    207.77   1199.92   1199.92   1199.92   1161.40   1161.40   1161.40    975.82    975.82    975.82    804.07    804.07    804.07    858.82    858.82    858.82   1064.99   1064.99   1064.99
       646    -27.15   -522.91      1.50      1.00      2.00    523.61    523.61    523.61   1152.59   1152.59   1152.59    628.99    628.99    628.99    584.24    584.24    584.24   1104.48   1104.48   1104.48   1467.24   1467.24   1467.24   1485.63   1485.63   1485.63
       647    833.77    823.47      1.50      0.00      2.00   1171.87   1171.87   1171.87    840.08    840.08    840.08    923.71    923.71    923.71   1233.20   1233.20   1233.20    667.59    667.59    667.59   1334.45   1334.45   1334.45    336.47    336.47    336.47
       648   -176.58    488.76      1.50      1.00      2.00    519.68    519.68    519.68   1491.28   1491.28   1491.28   1376.15   1376.15   1376.15   1255.82   1255.82   1255.82    957.55    957.55    957.55    496.94    496.94    496.94    774.67    774.67    774.67
       649    -95.57    834.50      1.50      1.00      2.00    839.96    839.96    839.96   1274.23   1274.23   1274.23   1404.78   1404.78   1404.78    902.67    902.67    902.67   1230.60   1230.60   1230.60    405.66    405.66    405.66    596.41    596.41    596.41
       650  -1105.57    -96.72      1.50      1.00      2.00   1109.79   1109.79   1109.79    864.55    864.55    864.55   1040.44   1040.44   1040.44    979.07    979.07    979.07    143.18    143.18    143.18   1137.39   1137.39   1137.39    899.64    899.64    899.64
       651    -31.72    491.80      1.50      1.00      2.00    492.82    492.82    492.82   1142.94   1142.94   1142.94   1458.25   1458.25   1458.25   1436.33   1436.33   1436.33   1086.02   1086.02   1086.02    599.46    599.46    599.46    650.22    650.22    650.22
